Tick: 001, Queue: 0, Busy: 1, Served: 0/8
Tick: 123, Queue: 1, Busy: 1, Served: 6/8
Tick: 124, Queue: 1, Busy: 1, Served: 6/8
Tick: 125, Queue: 1, Busy: 1, Served: 6/8
Tick: 126, Queue: 1, Busy: 1, Served: 6/8
Tick: 127, Queue: 1, Busy: 1, Served: 6/8
Tick: 128, Queue: 1, Busy: 1, Served: 6/8
Tick: 129, Queue: 1, Busy: 1, Served: 6/8
Tick: 130, Queue: 1, Busy: 0, Served: 7/8
Tick: 131, Queue: 0, Busy: 1, Served: 7/8
Tick: 132, Queue: 0, Busy: 1, Served: 7/8
Tick: 133, Queue: 0, Busy: 1, Served: 7/8
Tick: 134, Queue: 0, Busy: 1, Served: 7/8
Tick: 135, Queue: 0, Busy: 1, Served: 7/8
Tick: 136, Queue: 0, Busy: 1, Served: 7/8
Tick: 137, Queue: 0, Busy: 1, Served: 7/8
Tick: 138, Queue: 0, Busy: 1, Served: 7/8
Tick: 139, Queue: 0, Busy: 1, Served: 7/8
Tick: 140, Queue: 0, Busy: 0, Served: 8/8
Departure Times: [20, 25, 20, 5, 15, 20, 25, 30]
Avg Queue Length: 0.4857142857142857
Idle Time: 40
